location,store,item,price,category
degree,softy icecream,froot single,30,icecreams
degree,softy icecream,cashew grape single scoop,30,icecreams
degree,softy icecream,blackcurrent ,30,icecreams
degree,softy icecream,roll icecreams,30,icecreams
degree,franky stall,chicken frankie,75,non veg
degree,franky stall,paneer frankie,60,veg
degree,milk parlour,chittidli,20,veg
degree,milk parlour,cool drinks,20,drinks
degree,milk parlour,sweets,30,veg
degree,milk parlour,butter milk,10,drinks
5,amul ice creams,bar,15,icecreams
diploma,amul ice creams,bar,35,icecreams
diploma,amul ice creams,cups,35,icecreams
diploma,amul ice creams,cups,45,icecreams
diploma,amul ice creams,cones,35,icecreams
diploma,amul ice creams,cones,45,icecreams
diploma,amul ice creams,cones,55,icecreams
diploma,amul ice creams,tru juice,10,juice
diploma,amul ice creams,butter milk,10,drinks
diploma,temple square,egg puff,25,veg
diploma,temple square,veg puff,20,veg
diploma,temple square,chicken puff,35,non veg
diploma,temple square,chicken samosa,25,non veg
diploma,temple square,chicken roll,50,non veg
diploma,temple square,paneer roll,45,veg
diploma,temple square,red velvet cup cake,35,cake
diploma,temple square,chocolate cupcake,35,cake
diploma,temple square,black forest pastry,60,cake
diploma,temple square,red velvet pastry,70,cake
diploma,temple square,butter scotch pastry,60,cake
diploma,temple square,chocolate caramel pastry,60,cake
diploma,temple square,oreo pastry,60,cake
diploma,temple square,lava cake,55,cake
diploma,temple square,walnet brownie,45,cake
diploma,temple square,chocolate pudding,50,cake
diploma,temple square,sweet corn roll,35,veg
diploma,temple square,chicken kabab,60,veg
diploma,temple square,veg sandwich,80,veg
diploma,temple square,junnu,35,veg
diploma,temple square,coke,20,drinks
diploma,temple square,fanta,20,drinks
diploma,temple square,thumbsup,20,drinks
diploma,temple square,artos sweet,15,drinks
diploma,temple square,artos salt,15,drinks
diploma,temple square,limca,20,drinks
diploma,temple square,minute maid,20,drinks
diploma,temple square,chicken pizza,60,non veg
diploma,temple square,aloo grilled sandwich,45,veg
diploma,temple square,pizza sandwich,45,veg
diploma,temple square,cheese garlic sandwich,45,veg
diploma,temple square,paneer sandwich,50,veg
diploma,temple square,bbq chicken sandwich,70,non veg
diploma,temple square,chicken periperi sandwich,70,non veg
diploma,temple square,zinger chicken sandwich,70,non veg
diploma,temple square,tandoori chicken sandwich,70,non veg
diploma,temple square,veg burger,60,veg
